District,Variable,ANOVA_F,ANOVA_P,KW_H,KW_P
Ahmednagar,Area (ha),11.40043209927187,0.0005583406320165571,12.027103331451144,0.0024453875395660137
Ahmednagar,Production (tonnes),9.23552681184898,0.001577786051959607,10.290372670807443,0.005827388414062451
Ahmednagar,Yield (t/ha),3.053875652308825,0.07079212282296135,5.133963862224732,0.07676688389447364
Solapur,Area (ha),8.771468849778044,0.002002287161690013,10.775268210050825,0.0045727792633287285
Solapur,Production (tonnes),6.980777332497446,0.005334407371830783,9.433229813664596,0.008945408394989605
Solapur,Yield (t/ha),0.697423713600954,0.5101699005101664,1.5245623941275994,0.4666008036403403
Nashik,Area (ha),9.873546899360608,0.0011478560703113059,12.540254237288128,0.0018919880609659357
Nashik,Production (tonnes),5.705272606295832,0.011466457034102037,9.696216826651593,0.007843199618072906
Nashik,Yield (t/ha),5.213771012880077,0.015667377848834794,6.90584415584415,0.03165300855365457
Bellary,Area (ha),3.522531528037835,0.051162691223837785,5.499072356215223,0.06395751922575639
Bellary,Production (tonnes),2.762099776450059,0.08991224727920746,5.217068645640083,0.0736424006881979
Bellary,Yield (t/ha),0.4184508481853784,0.664304667461026,0.13570034389814495,0.9344004624898994
Dharwad,Area (ha),42.20077236513303,1.602116058922239e-07,13.899814471243047,0.0009587240850130034
Dharwad,Production (tonnes),34.040988742978044,7.642622877247759e-07,13.380333951762523,0.001243075192055553
Dharwad,Yield (t/ha),0.7884482675255883,0.4696322751868302,3.483187813486917,0.17524086030661373
